Tempo;Altura;Velocidade;Forca_Motor;Forca_Tracao;Energia_Motor
0,86141739995219;0;0;-4098400;-4098400;0
0,86837349995039;0;0;-4133450;-4133450;0
0,87435629998799;0;0;-4168500;-4168500;0
0,88240829994902;0;0;-4203550;-4203550;0
0,89236049994361;0;0;-4238600;-4238600;0
0,89629980002064;0;0;-4273650;-4273650;0
0,90240439993795;0;0;-4308700;-4308700;0
0,90938530000858;0;0;-4343750;-4343750;0
0,9162869999418;0;0;-4378800;-4378800;0
0,9273291999707;0;0;-4413850;-4413850;0
0,93027360003907;0;0;-4448900;-4448900;0
0,93721300002653;0;0;-4483950;-4483950;0
0,94428359996527;0;0;-4519000;-4519000;0
0,95130039996002;0;0;-4554050;-4554050;0
0,96229239995591;0;0;-4589100;-4589100;0
0,9652594999643;0;0;-4624150;-4624150;0
0,97224140004255;0;0;-4659200;-4659200;0
0,97888599999715;0;0;-4694250;-4694250;0
0,98578999994788;0;0;-4729300;-4729300;0
0,99624470004346;0;0;-4764350;-4764350;0
0,99926109996159;0;0;-4799400;-4799400;0
1,0073028999614;0;0;-4834450;-4834450;0
1,013290300034;0;0;-4869500;-4869500;0
1,0239567999961;0;0;-4904550;-4904550;0
1,0279151999857;0;0;-4939600;-4939600;0
1,0343237000052;0;0;-4974650;-4974650;0
1,0412771999836;0;0;-5009700;-5009700;0
1,0482223000145;0;0;-5044750;-5044750;0
1,0593870999292;0;0;-5079800;-5079800;0
1,062301900005;0;0;-5114850;-5114850;0
1,0689735999331;0;0;-5149900;-5149900;0
1,076046000002;0;0;-5184950;-5184950;0
1,0840342999436;0;0;-5220000;-5220000;0
1,0945472000167;0;0;-5255050;-5255050;0
1,0967173000099;0;0;-5290100;-5290100;0
1,1042305999435;0;0;-5325150;-5325150;0
1,1112666999688;0;0;-5360200;-5360200;0
1,1180663999403;0;0;-5395250;-5395250;0
1,1280366999563;0;0;-5430300;-5430300;0
1,1319883000106;0;0;-5465350;-5465350;0
1,1391388999764;0;0;-5500400;-5500400;0
1,1459806000348;0;0;-5535450;-5535450;0
1,1529704999411;0;0;-5570500;-5570500;0
1,1649586999556;0;0;-5605550;-5605550;0
1,1739807999693;0;0;-5640600;-5640600;0
1,1808780999854;0;0;-5675650;-5675650;0
1,1870429000119;0;0;-5710700;-5710700;0
1,1970555000007;0;0;-5745750;-5745750;0
1,2010430999799;0;0;-5780800;-5780800;0
1,2082966000307;0;0;-5815850;-5815850;0
1,2152413999429;0;0;-5850900;-5850900;0
1,2252458999865;0;0;-5885950;-5885950;0
1,2292040999746;0;0;-5921000;-5921000;0
1,2362131000264;0;0;-5956050;-5956050;0
1,2432912000222;0;0;-5991100;-5991100;0
1,2502842999529;0;0;-6026150;-6026150;0
1,2609146999894;0;0;-6061200;-6061200;0
1,2638618999626;0;0;-6096250;-6096250;0
1,2702936000424;0;0;-6131300;-6131300;0
